LDHH,Parish,Cases,Deaths,Commercial Tests,State Tests,FID,Column10,Column11,x,y
4,Acadia,133,10,1871,42,1,,,-10287256.783188,3540974.19340746
5,Allen,90,9,376,32,2,,,-10333543.4274598,3587782.93213322
2,Ascension,627,40,3090,56,3,,,-10120199.6233545,3529750.23944116
3,Assumption,189,6,712,51,4,,,-10137042.2623116,3490821.66457933
6,Avoyelles,73,7,894,55,5,,,-10241549.0002683,3642689.41463407
5,Beauregard,42,3,712,8,6,,,-10390928.6249638,3587216.16991053
7,Bienville,77,13,529,19,7,,,-10358946.5352589,3809003.1148311
7,Bossier,287,17,5449,44,8,,,-10420083.1996025,3852857.00273378
7,Caddo,1579,113,13235,124,9,,,-10450952.0943995,3839827.7988858
5,Calcasieu,437,29,5595,123,10,,,-10392565.0214784,3533072.57572819
8,Caldwell,20,0,273,75,11,,,-10254373.0056077,3775449.62557093
5,Cameron,3,0,72,1,12,,,-10370134.1440836,3493112.75184121
6,Catahoula,40,2,209,8,13,,,-10230428.183138,3715327.44349084
7,Claiborne,59,7,434,25,14,,,-10352233.969964,3871825.72323945
6,Concordia,39,4,231,6,15,,,-10201318.1362956,3690859.39442252
7,De Soto,194,11,1314,20,16,,,-10434576.9973038,3770825.30060835
2,East Baton Rouge,1989,146,9048,551,17,,,-10140715.8055077,3572952.04467599
8,East Carroll,9,0,262,4,18,,,-10156233.7425243,3859896.39485926
2,East Feliciana,128,14,381,172,19,,,-10135138.699019,3612660.39608165
4,Evangeline,51,1,589,90,20,,,-10286577.7342942,3597627.73082642
8,Franklin,130,3,683,32,21,,,-10205069.6031353,3780849.99112215
6,Grant,14,0,297,8,22,,,-10303676.40808,3710901.19122845
4,Iberia,261,21,2076,207,23,,,-10213919.5026534,3499442.34466281
2,Iberville,459,30,1080,337,24,,,-10170170.9427716,3531648.97874077
8,Jackson,40,2,339,25,25,,,-10303487.1649457,3803043.45447653
1,Jefferson,6305,368,22884,850,26,,,-10033014.1981652,3468945.98303749
5,Jefferson Davis,63,6,713,114,27,,,-10332018.350436,3538039.02552696
6,La Salle,26,0,401,26,28,,,-10259259.9312535,3720999.21804427
4,Lafayette,463,20,8885,91,29,,,-10248506.4684429,3530168.86511741
3,Lafourche,661,50,2747,374,30,,,-10067322.8652277,3448429.51624533
8,Lincoln,85,8,601,77,31,,,-10315398.3504605,3842561.46001913
9,Livingston,229,15,2512,39,32,,,-10101041.538989,3561580.81485314
8,Madison,7,0,143,11,33,,,-10157391.4652286,3811637.4329805
8,Morehouse,52,4,744,31,34,,,-10219329.6299059,3871499.85631458
7,Natchitoches,86,4,735,45,35,,,-10363432.7107378,3727167.02532669
1,Orleans,6495,437,22369,1783,36,,,-10005685.2631755,3512320.61963375
8,Ouachita,730,21,5324,245,37,,,-10258625.410156,3826287.70422232
,Out of State,0,0,3104,121,38,,,0,0
,Parish Under Investigation,63,0,0,0,39,,,0,0
1,Plaquemines,179,17,924,10,40,,,-10001555.3100671,3456784.8482277
2,Pointe Coupee,104,15,417,108,41,,,-10193113.8898241,3581957.37466676
6,Rapides,270,10,2276,112,42,,,-10300748.7054721,3658620.13818137
7,Red River,29,5,189,14,43,,,-10390550.1386951,3775561.31453115
8,Richland,66,0,771,24,44,,,-10211648.5850412,3824147.52562059
7,Sabine,17,1,351,25,45,,,-10411411.4112697,3707251.33242432
1,St. Bernard,469,20,1967,41,46,,,-9993785.20960969,3485216.39468215
3,St. Charles,573,38,3056,68,47,,,-10059096.3548581,3488646.53874566
9,St. Helena,28,1,121,6,48,,,-10097824.4057051,3609672.11479579
3,St. James,247,19,1571,107,49,`,,-10107397.8819133,3506939.91167603
3,St. John the Baptist,771,71,2619,189,50,,,-10079623.6689604,3513462.89798338
4,St. Landry,181,44,2153,88,51,,,-10242038.8060278,3580798.53743085
4,St. Martin,241,17,1828,29,52,,,-10210980.6680964,3532937.2949286
3,St. Mary,193,23,976,142,53,,,-10180345.5442301,3468099.93129194
9,St. Tammany,1270,112,7950,255,54,,,-10011930.286609,3561118.53521162
9,Tangipahoa,565,23,3043,55,55,,,-10064617.8016015,3586895.27483007
8,Tensas,1,0,53,1,56,,,-10167922.2890576,3763563.97230207
3,Terrebonne,450,33,2431,236,57,,,-10113097.4398419,3431495.99761108
8,Union,125,6,749,30,58,,,-10283126.8300796,3873039.19327773
4,Vermilion,37,1,1393,21,59,,,-10277416.1402019,3483772.46579413
6,Vernon,16,2,590,3,60,,,-10373206.5620295,3646859.66636018
9,Washington,273,21,1181,304,61,,,-10023262.6107717,3613735.31570973
7,Webster,92,4,1527,13,62,,,-10390004.6731902,3857402.16268295
2,West Baton Rouge,108,19,545,20,63,,,-10164894.398908,3563268.66711641
8,West Carroll,4,0,225,22,64,,,-10180913.2736332,3867302.80795978
2,West Feliciana,129,2,59,185,65,,,-10176004.0840892,3616641.56483413
6,Winn,38,2,312,31,66,,,-10312270.2727692,3756026.28063818
