LDH Region,Parish,Cases,Deaths,Commercial Tests,State Tests,FID,Column10,Column11,x,y
4,Acadia,152,11,2465,56,1,,,-10287256.783187998,3540974.1934074564
5,Allen,90,10,457,35,2,,,-10333543.42745984,3587782.93213322
2,Ascension,701,49,4867,64,3,,,-10120199.62335453,3529750.239441165
3,Assumption,230,11,1076,103,4,,,-10137042.262311555,3490821.6645793305
6,Avoyelles,76,8,1120,71,5,,,-10241549.000268279,3642689.4146340676
5,Beauregard,46,4,913,10,6,,,-10390928.624963773,3587216.1699105264
7,Bienville,77,20,649,20,7,,,-10358946.535258865,3809003.114831105
7,Bossier,313,22,6851,44,8,,,-10420083.199602531,3852857.002733777
7,Caddo,1784,135,17191,125,9,,,-10450952.094399506,3839827.798885799
5,Calcasieu,496,40,7428,164,10,,,-10392565.021478435,3533072.5757281906
8,Caldwell,48,0,433,117,11,,,-10254373.005607665,3775449.62557093
5,Cameron,3,0,100,1,12,,,-10370134.14408359,3493112.751841207
6,Catahoula,86,3,333,11,13,,,-10230428.183138032,3715327.4434908433
7,Claiborne,59,9,537,32,14,,,-10352233.969964031,3871825.723239455
6,Concordia,43,4,276,6,15,,,-10201318.13629559,3690859.394422525
7,De Soto,215,14,1808,20,16,,,-10434576.997303816,3770825.3006083504
2,East Baton Rouge,2445,190,12791,781,17,,,-10140715.805507733,3572952.0446759933
8,East Carroll,24,0,410,4,18,,,-10156233.742524315,3859896.394859259
2,East Feliciana,140,20,551,207,19,,,-10135138.699018989,3612660.396081652
4,Evangeline,68,1,761,113,20,,,-10286577.734294157,3597627.73082642
8,Franklin,208,6,954,132,21,,,-10205069.603135323,3780849.991122153
6,Grant,18,1,412,10,22,,,-10303676.408080004,3710901.1912284456
4,Iberia,287,26,2632,213,23,,,-10213919.50265339,3499442.344662809
2,Iberville,504,37,1410,411,24,,,-10170170.942771632,3531648.978740774
8,Jackson,67,6,494,48,25,,,-10303487.164945656,3803043.454476528
1,Jefferson,6789,405,31239,860,26,,,-10033014.198165242,3468945.9830374937
5,Jefferson Davis,68,6,908,162,27,,,-10332018.350435972,3538039.0255269627
6,La Salle,33,0,543,32,28,,,-10259259.93125349,3720999.218044266
4,Lafayette,512,22,11019,135,29,,,-10248506.46844286,3530168.865117412
3,Lafourche,715,60,4391,497,30,,,-10067322.865227725,3448429.5162453293
8,Lincoln,107,12,884,99,31,,,-10315398.350460537,3842561.460019133
9,Livingston,283,24,3584,51,32,,,-10101041.53898901,3561580.8148531397
8,Madison,14,0,207,11,33,,,-10157391.465228565,3811637.432980501
8,Morehouse,67,5,1003,34,34,,,-10219329.629905943,3871499.85631458
7,Natchitoches,100,9,1102,61,35,,,-10363432.710737834,3727167.025326693
1,Orleans,6718,477,29577,1785,36,,,-10005685.263175491,3512320.6196337542
8,Ouachita,856,27,7133,298,37,,,-10258625.410155967,3826287.7042223224
,Out of State,0,0,4706,141,38,,,0,0
,Parish Under Investigation,64,1,0,0,39,,,0,0
1,Plaquemines,191,19,1237,10,40,,,-10001555.310067061,3456784.848227697
2,Pointe Coupee,138,17,608,152,41,,,-10193113.889824126,3581957.3746667574
6,Rapides,376,13,3238,253,42,,,-10300748.705472142,3658620.1381813665
7,Red River,36,6,303,15,43,,,-10390550.138695076,3775561.314531145
8,Richland,103,1,1281,27,44,,,-10211648.585041204,3824147.525620587
7,Sabine,19,1,494,29,45,,,-10411411.411269734,3707251.3324243226
1,St. Bernard,515,19,2629,42,46,,,-9993785.209609691,3485216.3946821494
3,St. Charles,596,43,3975,109,47,,,-10059096.354858104,3488646.538745664
9,St. Helena,38,1,178,9,48,,,-10097824.405705085,3609672.114795786
3,St. James,256,20,2169,122,49,,,-10107397.881913304,3506939.911676027
3,St. John the Baptist,804,76,3404,231,50,,,-10079623.668960385,3513462.897983378
4,St. Landry,215,51,2787,206,51,,,-10242038.806027768,3580798.537430845
4,St. Martin,264,21,2282,32,52,,,-10210980.668096446,3532937.2949286015
3,St. Mary,251,26,1578,187,53,,,-10180345.544230137,3468099.9312919388
9,St. Tammany,1477,141,11307,319,54,,,-10011930.286608994,3561118.5352116227
9,Tangipahoa,679,29,4471,60,55,,,-10064617.80160145,3586895.2748300675
8,Tensas,6,0,95,1,56,,,-10167922.289057609,3763563.9723020704
3,Terrebonne,533,39,3997,259,57,,,-10113097.43984192,3431495.9976110803
8,Union,171,11,1034,38,58,,,-10283126.830079567,3873039.19327773
4,Vermilion,41,2,1645,28,59,,,-10277416.140201872,3483772.465794131
6,Vernon,18,2,760,4,60,,,-10373206.562029485,3646859.6663601766
9,Washington,347,26,1865,363,61,,,-10023262.61077175,3613735.3157097343
7,Webster,101,4,1952,13,62,,,-10390004.673190188,3857402.162682951
2,West Baton Rouge,124,28,735,24,63,,,-10164894.39890803,3563268.6671164106
8,West Carroll,5,0,372,25,64,,,-10180913.273633184,3867302.8079597773
2,West Feliciana,186,8,83,323,65,,,-10176004.0840892,3616641.5648341277
6,Winn,54,2,424,49,66,,,-10312270.272769246,3756026.2806381825
